event_hour,base_title,base_room,start,intervals,end
00:30,macaco,5,00:30,00:47,03:03
13:20,nosferatu,6,13:20,13:35,15:47
13:20,glad,3,13:20,13:35,16:44
13:20,sonic,1,13:20,13:41,15:26
13:25,wicked,4,13:25,13:37,15:18
14:30,macaco,5,14:30,14:47,17:03
16:00,wicked,4,16:00,16:12,17:53
16:30,nosferatu,6,16:30,16:45,18:57
16:30,glad,3,16:30,16:45,19:54
16:30,sonic,1,16:30,16:51,18:36
17:00,mufasa,2,17:00,19:26,20:21
17:40,macaco,5,17:40,17:57,20:13
19:00,mufasa,2,19:00,21:26,22:21
19:30,nosferatu,6,19:30,19:45,21:57
19:30,glad,3,19:30,19:45,22:54
20:00,mufasa,2,20:00,22:26,23:21
21:00,sonic,1,21:00,21:21,23:06
21:00,sonic VO ,1,21:00,21:21,23:06
21:30,macaco,5,21:30,21:47,00:03
22:30,nosferatu,6,22:30,22:45,00:57
22:30,glad,3,22:30,22:45,01:54
23:00,sonic VO ,1,23:00,23:21,01:06
