event_hour,base_title,base_room,start,intervals,end
01:20:00 PM,nosferatu,6,01:20:00 PM,01:35,03:47
01:20:00 PM,glad,3,01:20:00 PM,01:35,04:44
01:20:00 PM,sonic,1,01:20:00 PM,01:41,03:26
01:25:00 PM,wicked,4,01:25:00 PM,01:37,03:18
04:00:00 PM,wicked,4,04:00:00 PM,04:12,05:53
04:30:00 PM,nosferatu,6,04:30:00 PM,04:45,06:57
04:30:00 PM,glad,3,04:30:00 PM,04:45,07:54
05:00:00 PM,mufasa,2,05:00:00 PM,07:26,08:21
07:00:00 PM,mufasa,2,07:00:00 PM,09:26,10:21
07:30:00 PM,nosferatu,6,07:30:00 PM,07:45,09:57
07:30:00 PM,glad,3,07:30:00 PM,07:45,10:54
08:00:00 PM,mufasa,2,08:00:00 PM,10:26,11:21
09:00:00 PM,sonic,1,09:00:00 PM,09:21,11:06
09:00:00 PM,sonic VO ,1,09:00:00 PM,09:21,11:06
10:30:00 PM,nosferatu,6,10:30:00 PM,10:45,12:57
10:30:00 PM,glad,3,10:30:00 PM,10:45,13:54
11:00:00 PM,sonic VO ,1,11:00:00 PM,11:21,13:06
12:30:00 AM,macaco,5,12:30:00 AM,12:47,15:03
14:30:00,macaco,5,14:30:00,14:47,17:03
16:30:00 A,sonic,1,16:30:00 A,16:51,18:36
17:40:00,macaco,5,17:40:00,17:57,20:13
21:30:00,macaco,5,21:30:00,21:47,00:03
